YYYY-MM-DD,   TG,  RHX,   UG
2018-01-242,148,0,75
2018-01-243,128,2,81
2018-01-244,135,0,77
2018-01-245,159,0,76
2018-01-246,179,1,90
2018-01-247,194,1,94
2018-01-248,180,86,93
2018-01-249,162,64,92
2018-01-250,151,31,71
2018-01-251,148,-1,77
2018-01-252,182,-1,77
2018-01-253,174,0,79
2018-01-254,186,-1,83
2018-01-255,149,23,89
2018-01-256,119,0,83
2018-01-257,141,-1,75
2018-01-258,151,-1,80
2018-01-259,151,0,81
2018-01-260,167,0,76
2018-01-261,180,0,74
2018-01-262,186,0,77
2018-01-263,191,0,77
2018-01-264,155,15,68
2018-01-265,128,17,81
2018-01-266,106,23,88
2018-01-267,114,14,71
2018-01-268,96,0,83
2018-01-269,122,0,82
2018-01-270,134,0,79
2018-01-271,125,-1,72
2018-01-272,88,0,80
2018-01-273,105,3,78
2018-01-274,106,17,73
2018-01-275,130,12,81
2018-01-276,133,-1,74
2018-01-277,142,0,89
2018-01-278,126,0,86
2018-01-279,131,46,90
2018-01-280,101,1,80
2018-01-281,105,0,87
2018-01-282,119,0,86
2018-01-283,145,0,80
2018-01-284,173,14,79
2018-01-285,181,0,79
2018-01-286,195,0,77
2018-01-287,166,0,81
2018-01-288,157,0,83
2018-01-289,155,0,84
2018-01-290,129,0,91
2018-01-291,125,2,81
2018-01-292,89,0,87
2018-01-293,90,0,91
2018-01-294,122,-1,85
2018-01-295,115,11,76
2018-01-296,134,-1,78
2018-01-297,142,5,90
2018-01-298,124,2,83
2018-01-299,102,17,82
2018-01-300,70,31,87
2018-01-301,47,0,72
2018-01-302,45,0,85
2018-01-303,61,45,91
2018-01-304,84,2,82
2018-01-305,100,8,86
2018-01-306,77,19,79
2018-01-307,49,0,89
2018-01-308,56,0,91
2018-01-309,81,0,94
2018-01-310,114,0,86
2018-01-311,109,2,84
2018-01-312,91,0,83
2018-01-313,87,0,89
2018-01-314,114,11,91
2018-01-315,111,39,88
2018-01-316,101,6,94
2018-01-317,100,-1,88
2018-01-318,82,0,91
2018-01-319,66,0,91
2018-01-320,26,0,97
2018-01-321,44,0,81
2018-01-322,36,0,70
2018-01-323,52,-1,79
2018-01-324,34,2,76
2018-01-325,33,1,85
2018-01-326,32,0,87
2018-01-327,33,0,90
2018-01-328,26,0,95
2018-01-329,36,0,91
2018-01-330,49,-1,88
2018-01-331,33,0,89
2018-01-332,72,11,95
2018-01-333,108,6,85
2018-01-334,93,0,86
2018-01-335,79,12,94
2018-01-336,125,20,93
2018-01-337,113,18,88
2018-01-338,52,0,85
2018-01-339,59,8,96
2018-01-340,114,6,95
2018-01-341,104,43,86
2018-01-342,100,15,78
2018-01-343,88,4,77
2018-01-344,66,7,75
2018-01-345,54,3,78
2018-01-346,10,-1,89
2018-01-347,11,0,88
2018-01-348,12,0,86
2018-01-349,2,15,75
2018-01-350,25,16,99
2018-01-351,58,17,94
2018-01-352,70,0,86
2018-01-353,75,8,88
2018-01-354,77,8,90
2018-01-355,99,33,90
2018-01-356,94,34,86
2018-01-357,74,17,95
2018-01-358,68,-1,83
2018-01-359,55,0,80
2018-01-360,50,0,88
2018-01-361,15,0,89
2018-01-362,47,-1,96
2018-01-363,91,2,88
2018-01-364,87,3,92
2018-01-365,89,0,92
2018-01-366,77,6,79
2018-01-367,58,4,74
2018-01-368,39,4,90
2018-01-369,56,5,84
2018-01-370,72,1,83
2018-01-371,59,-1,83
2018-01-372,77,3,90
2018-01-373,74,15,76
2018-01-374,48,11,74
2018-01-375,34,4,88
2018-01-376,74,5,94
2018-01-377,79,6,88
2018-01-378,88,6,88
2018-01-379,55,9,80
2018-01-380,73,0,86
2018-01-381,63,25,90
2018-01-382,43,22,82
2018-01-383,1,0,89
2018-01-384,-8,0,88
2018-01-385,-25,0,80
2018-01-386,-15,0,90
2018-01-387,-5,4,90
2018-01-388,-7,0,89
2018-01-389,-4,-1,89
2018-01-390,24,10,96
2018-01-391,76,10,90
2018-01-392,60,34,89
2018-01-393,44,10,81
2018-01-394,19,9,80
2018-01-395,7,32,92
2018-01-396,-8,1,96
2018-01-397,8,3,96
2018-01-398,27,9,95
2018-01-399,19,-1,87
2018-01-400,24,18,89
2018-01-401,46,-1,95
2018-01-402,55,17,96
2018-01-403,79,20,81
2018-01-404,80,6,88
2018-01-405,84,4,77
2018-01-406,61,31,93
2018-01-407,50,-1,85
2018-01-408,59,0,84
2018-01-409,65,0,84
2018-01-410,51,0,80
2018-01-411,56,0,78
2018-01-412,63,0,84
2018-01-413,69,0,76
